"GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","dist"
29600003,115,2,1,1,"0:00","MISS Coleman 59' 3PT Jump Shot",NA,NA,NA,NA,4,934,"Derrick Coleman",1610612755,0,0,NA,NA,0,0,NA,NA,59
29600004,232,2,1,2,"0:00",NA,NA,"MISS Strickland 47' 3PT Jump Shot",NA,NA,5,393,"Rod Strickland",1610612764,0,0,NA,NA,0,0,NA,NA,47
29600004,332,2,1,3,"0:00","MISS Anderson 47' 3PT Jump Shot",NA,NA,NA,NA,4,98,"Nick Anderson",1610612753,0,0,NA,NA,0,0,NA,NA,47
29600005,221,2,1,2,"0:00",NA,NA,"MISS Blaylock 60' 3PT Jump Shot",NA,NA,5,302,"Mookie Blaylock",1610612737,0,0,NA,NA,0,0,NA,NA,60
29600006,260,2,1,2,"0:00",NA,NA,"MISS Starks 54' 3PT Jump Shot",NA,NA,5,317,"John Starks",1610612752,0,0,NA,NA,0,0,NA,NA,54
29600022,221,2,1,2,"0:00","MISS Horry 58' 3PT Jump Shot",NA,NA,NA,NA,4,109,"Robert Horry",1610612756,0,0,NA,NA,0,0,NA,NA,58
29600023,219,2,1,2,"0:01","MISS Duckworth 70' 3PT Jump Shot",NA,NA,NA,NA,4,404,"Kevin Duckworth",1610612746,0,0,NA,NA,0,0,NA,NA,70
29600034,309,2,2,3,"0:00","MISS Mills 51' 3PT Running Jump Shot",NA,NA,NA,NA,4,168,"Chris Mills",1610612739,0,0,NA,NA,0,0,NA,NA,51
29600046,354,2,1,3,"0:01",NA,NA,"MISS Mayberry 60' 3PT Jump Shot",NA,NA,5,195,"Lee Mayberry",1610612763,0,0,NA,NA,0,0,NA,NA,60
29600049,373,2,1,3,"0:00",NA,NA,"MISS Perkins 63' 3PT Jump Shot",NA,NA,5,64,"Sam Perkins",1610612760,0,0,NA,NA,0,0,NA,NA,63
29600050,214,2,1,2,"0:00",NA,NA,"MISS Ward 57' 3PT Jump Shot",NA,NA,5,369,"Charlie Ward",1610612752,0,0,NA,NA,0,0,NA,NA,57
29600067,108,2,1,1,"0:00",NA,NA,"MISS Hardaway 70' 3PT Jump Shot",NA,NA,5,896,"Tim Hardaway",1610612748,0,0,NA,NA,0,0,NA,NA,70
29600068,108,2,1,1,"0:00",NA,NA,"MISS Malone 56' 3PT Jump Shot",NA,NA,5,252,"Karl Malone",1610612762,0,0,NA,NA,0,0,NA,NA,56
29600070,88,2,2,1,"0:00",NA,NA,"MISS Jackson 60' 3PT Running Jump Shot",NA,NA,5,349,"Mark Jackson",1610612743,0,0,NA,NA,0,0,NA,NA,60
29600078,81,2,1,1,"0:00","MISS Causwell 53' 3PT Jump Shot",NA,NA,NA,NA,4,190,"Duane Causwell",1610612758,0,0,NA,NA,0,0,NA,NA,53
29600082,324,2,1,3,"0:00",NA,NA,"MISS Ferry 55' 3PT Jump Shot",NA,NA,5,198,"Danny Ferry",1610612739,0,0,NA,NA,0,0,NA,NA,55
29600083,329,2,1,3,"0:00","MISS Baker 67' 3PT Jump Shot",NA,NA,NA,NA,4,452,"Vin Baker",1610612749,0,0,NA,NA,0,0,NA,NA,67
29600084,257,2,1,2,"0:00",NA,NA,"MISS Butler 48' 3PT Jump Shot",NA,NA,5,348,"Mitchell Butler",1610612757,0,0,NA,NA,0,0,NA,NA,48
29600085,230,2,1,2,"0:00",NA,NA,"MISS Allen 47' 3PT Jump Shot",NA,NA,5,706,"Jerome Allen",1610612754,0,0,NA,NA,0,0,NA,NA,47
29600088,216,2,1,2,"0:00",NA,NA,"MISS Murray 67' 3PT Jump Shot",NA,NA,5,441,"Lamond Murray",1610612746,0,0,NA,NA,0,0,NA,NA,67
29600097,226,2,1,2,"0:00",NA,NA,"MISS Camby 56' 3PT Jump Shot",NA,NA,5,948,"Marcus Camby",1610612761,0,0,NA,NA,0,0,NA,NA,56
