TEAM_ID,STATS.NBA_PLAYER_ID,BBR_ID,Season,League,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X3P.,X2P,X2PA,X2P.,eFG.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS.,X3PAr,FTr,ORB.,DRB.,TRB.,AST.,STL.,BLK.,TOV.,USG.,OWS,DWS,WS,WS.48,OBPM,DBPM,BPM,VORP,PosNum,Season.Tm,PlayerBorn,SeasonPlayerBorn,Poss,X3PA100adj,ORB.adj,DRB.adj,RelTS.
1610612758,NA,,1978,NBA,Otis Birdsong,SG,22,KCK,73,NA,1878,470,955,0.492146597,NA,NA,NA,470,955,0.492146597,0.492146597,216,310,0.696774194,70,105,175,174,74,12,145,179,1156,17.1,0.529595016,0,0.32460733,3.8,5.7,4.8,14.1,1.7,0.3,11.7,25.1,3.3,0.9,4.2,0.108,1.5,-2.5,-0.9,0.5,2,1978 KCK,Otis Birdsong 1956,1978 Otis Birdsong 1956,4233.325,0,-2.56,-7.94,0.014917248
0,NA,,1978,NBA,Adrian Dantley,SF,21,TOT,79,NA,2933,578,1128,0.512411348,NA,NA,NA,578,1128,0.512411348,0.512411348,541,680,0.795588235,265,355,620,253,118,24,228,233,1697,20.9,0.59452074,0,0.602836879,9.2,12,10.6,11.8,1.8,0.4,13.8,21.7,9.6,2.5,12.2,0.199,4.1,-0.2,4,4.4,3,1978 TOT,Adrian Dantley 1957,1978 Adrian Dantley 1957,6524.627083,0,2.84,-1.64,0.079842972
1610612757,NA,,1978,NBA,Johnny Davis,SG,22,POR,82,NA,2188,343,756,0.453703704,NA,NA,NA,343,756,0.453703704,0.453703704,188,227,0.828193833,65,108,173,217,81,14,151,173,874,12.1,0.510585596,0,0.30026455,3.2,5,4.1,13.3,1.7,0.3,15,18.2,2.1,2.2,4.3,0.094,-0.5,-0.6,-1.1,0.5,2,1978 POR,Johnny Davis 1956,1978 Johnny Davis 1956,4749.783333,0,-3.16,-8.64,-0.004092172
1610612755,NA,,1978,NBA,Darryl Dawkins,C,21,PHI,70,NA,1722,332,577,0.575389948,NA,NA,NA,332,577,0.575389948,0.575389948,156,220,0.709090909,117,438,555,85,34,125,123,268,820,18,0.608489166,0,0.381282496,7.1,24.9,16.3,6.8,0.9,3.7,15.4,17.5,3.6,2.7,6.4,0.178,0.3,1.1,1.5,1.5,5,1978 PHI,Darryl Dawkins 1957,1978 Darryl Dawkins 1957,3888.85,0,0.74,11.26,0.093811398
0,NA,,1978,NBA,James Edwards,C,22,TOT,83,NA,2405,495,1093,0.452881976,NA,NA,NA,495,1093,0.452881976,0.452881976,272,421,0.64608076,197,418,615,85,53,78,169,322,1262,14.7,0.493647515,0,0.385178408,8,17.3,12.6,5.1,1,1.7,11.7,22.9,2.1,2.3,4.5,0.089,-1.3,-1.6,-3,-0.6,5,1978 TOT,James Edwards 1956,1978 James Edwards 1956,5389.639583,0,1.64,3.66,-0.021030253
1610612752,NA,,1978,NBA,Glen Gondrezick,SF,22,NYK,72,NA,1017,131,339,0.386430678,NA,NA,NA,131,339,0.386430678,0.386430678,83,121,0.685950413,92,158,250,83,56,18,82,181,345,10.1,0.439781766,0,0.356932153,9.5,15.8,12.7,9.9,2.4,0.9,17.3,17.7,-0.2,1.1,0.9,0.044,-2.5,0.3,-2.2,0,3,1978 NYK,Glen Gondrezick 1956,1978 Glen Gondrezick 1956,2324.26875,0,3.14,2.16,-0.074896002
1610612749,NA,,1978,NBA,Ernie Grunfeld,SG,22,MIL,73,NA,1261,204,461,0.442516269,NA,NA,NA,204,461,0.442516269,0.442516269,94,143,0.657342657,70,124,194,145,54,19,98,150,502,12,0.479080776,0,0.310195228,5.8,10.6,8.1,14.6,1.9,0.8,15.8,18.7,0.6,0.9,1.4,0.055,-1.3,-0.8,-2.1,0,2,1978 MIL,Ernie Grunfeld 1956,1978 Ernie Grunfeld 1956,2855.639583,0,-0.56,-3.04,-0.035596992
1610612737,NA,,1978,NBA,Eddie Johnson,SG,22,ATL,79,NA,1875,332,686,0.483965015,NA,NA,NA,332,686,0.483965015,0.483965015,164,201,0.815920398,51,102,153,235,100,4,168,232,828,13.6,0.534579825,0,0.293002915,2.9,6.1,4.4,18.9,2.5,0.1,17.8,20.2,1.8,1.8,3.5,0.091,0,-0.9,-1,0.5,2,1978 ATL,Eddie Johnson 1956,1978 Eddie Johnson 1956,4035.15625,0,-3.46,-7.54,0.019902057
1610612749,NA,,1978,NBA,Marques Johnson,SF,21,MIL,80,NA,2765,628,1204,0.521594684,NA,NA,NA,628,1204,0.521594684,0.521594684,301,409,0.73594132,292,555,847,190,92,103,175,221,1557,21.3,0.562516258,0,0.339700997,10.9,21.6,16.2,9.5,1.5,1.9,11.2,21.4,7.7,3,10.6,0.185,3.1,0.3,3.4,3.7,3,1978 MIL,Marques Johnson 1957,1978 Marques Johnson 1957,6261.572917,0,4.54,7.96,0.04783849
1610612751,NA,,1978,NBA,Bernard King,SF,21,NJN,79,NA,3092,798,1665,0.479279279,NA,NA,NA,798,1665,0.479279279,0.479279279,313,462,0.677489177,265,486,751,193,122,36,311,302,1909,17.3,0.510897724,0,0.277477477,7.9,16,11.8,9.9,1.7,0.6,14.3,26,2.6,3.3,5.9,0.092,1.2,-0.2,1,2.3,3,1978 NJN,Bernard King 1957,1978 Bernard King 1957,7143.808333,0,1.54,2.36,-0.003780044
